id_book,title,authors,publisher,published_year,id_categories
57,"Optical Waveguide Theory (Science Paperbacks, 190)","A.W. Snyder, J. Love",Springer Science & Business Media,1983,9
58,How Sweet It Is Without the Sugar: Delicious Desserts for Diabetics and Others,Jean C. Wade,"Random House Digital, Inc.",1999,6
59,Orcas of the Gulf,Gerard Gormley,iUniverse,2000,15
60,Conversations with Maya Angelou (Literary Conversations),Maya Angelou,Univ. Press of Mississippi,1989,29
61,Allah's Fire (Task Force Valor Series #1),"Chuck Holton, Gayle Roper",Multnomah,2009,4
62,Revolutions in Sovereignty: How Ideas Shaped Modern International Relations.,Daniel Philpott,Princeton University Press,2010,30
63,Principles of Quantum Mechanics,P. A. M. Dirac,"Lulu Press, Inc",2019,20
64,50 Microsoft Windows XP Things You Must Know,Shelley OHara,Que Publishing,2005,13
65,"Reality Check: What Your Mind Knows, But Isn't Telling You",David L. Weiner,Pyr Books,2005,8
66,Bradbury Classic Stories 1: From the Golden Apples of the Sun and R Is for Rocket (Grand Master Editions),Ray Bradbury,Spectra,1990,4
67,Beginning Again,Page Dickey,Timber Press,2020,12
68,Beginning Object-Oriented Programming with VB 2005: From Novice to Professional (Beginning: From Novice to Professional),Dan Clark,Apress,2006,13
69,On Love & Psychological Exercises: With Some Aphorisms & Other Essays,Alain de Botton,McClelland & Stewart Limited,2008,14
70,Careers in Criminology (Careers in... Series),"Ester Ragonese, Anne Rees, Jo Ives, Terry Dray",Routledge,2014,31
71,Compression Scars,Kellie Wells,University of Georgia Press,2011,4
72,The Intuition Toolbox,Paul Winter,Booklocker.Com Incorporated,2003,32
73,The Sacred Art of Listening: Forty Reflections for Cultivating a Spiritual Practice,Kay Lindahl,SkyLight Paths Publishing,2002,1
74,In Monte Carlo,Mark Braude,Simon and Schuster,2017,5
75,Count Your Blessings,Dr. John F. Demartini,"Hay House, Inc",2006,32
76,A Dictionary of Sociology,John Scott,"Oxford University Press, USA",2014,20
77,The Stratocaster Chronicles: Celebrating 50 Years of the Fender Strat,Tom Wheeler,Hal Leonard Corporation,2004,2
78,PARADISE FOR RVers: The Greater Yellowstone-Grand Teton Region,William R. Lassey,iUniverse,2004,33
79,Perl Best Practices,Damian Conway,"""O'Reilly Media, Inc.""",2005,13
80,rbol de la vida: historias de la guerra civil,Mario Bencastro,Turtleback,1997,18
81,"The Most Incredible, Outrageious, Packed-to-the-Gills, Bulding-at-the-Seames Sticker Book: You've ever Seen (Sticker Books)","R R Bowker Publishing, Bowker",R. R. Bowker,1999,34
82,Seth The Doll Who Was Afraid Of Everything,Rowena Avery,Trafford,2004,35
83,Japanese for Young People III: Kanji Workbook (Bk.3),AJALT,Vertical Inc,2013,24
84,A Gentleman's Honor (Bastion Club),Stephanie Laurens,Hachette UK,2010,4
85,"Gas Pipelines and the Emergence of America's Regulatory State: A History of Panhandle Eastern Corporation, 1928-1993 (Studies in Economic History and Policy: USA in the Twentieth Century)","Christopher J. Castaneda, Clarance M. Smith",Cambridge University Press,2003,5
86,Advanced Dairy Chemistry: Volume 2: Lipids,"Paul L. H. McSweeney, Patrick F. Fox, James A. OMahony",Springer Nature,2020,36
87,Entomology Super Review (Super Reviews Study Guides),"Dwight Sanderson, Cicero Floyd Jackson",Research & Education Assoc.,2001,9
88,The New Marketing Conversation: Creating and Strengthening Relationships Between Buyers and Sellers,"Donna Baier Stein, Alexandra MacAaron",South-Western Pub,2005,5
89,The Tels,Paul Black,Novel Instincts Pub,2003,4
90,What Night Brings (Working Classics),Carla Trujillo,Curbstone Books,2003,4
91,Gospel of Thomas Annotated & Explained (SkyLight Illuminations),Stevan L. Davies,SkyLight Paths Publishing,2002,1
92,Readings from the Ancient Near East: Primary Sources for Old Testament Study (Encountering Biblical Studies),"Bill T. Arnold, Bryan E. Beyer",Baker Academic,2002,1
93,"The Heart of Whiteness: Confronting Race, Racism and White Privilege",Robert Jensen,City Lights Books,2020,3
94,Community and Submission (Spiritual Disciplines Bible Studies),Jan Johnson,InterVarsity Press,2010,1
95,Increase Your Puzzle IQ: Tips and Tricks for Building Your Logic Power,Marcel Danesi,Turner Publishing Company,1997,37
96,Recovering Argument: A Guide to Critical Thinking and Writing,Richard E. Mezo,Universal-Publishers,1999,38
97,A Journey Into Imagination: The Adventure Begins,"Katrina Patton, Rick E. Patton",Writers Club Press,2001,4
98,Victorian Jewelry: Unexplored Treasures,"Ginny Redington Dawes, Corinne Davidov",Abbeville Press,1991,39
99,"Gregg College Keyboarding & Document Processing (GDP), Lessons 1-60 text",Scot Ober,McGraw-Hill/Irwin,2001,5
100,Introduction to Hilbert Spaces with Applications,"Lokenath Debnath, Lokenath (University of Central Florida Debnath, Orlando U.S.A.), Piotr Mikusinski, Piotr (University of Central Florida Mikusinski, Orlando U.S.A.)",Academic Press,2005,22
101,Technology and Gender: Fabrics of Power in Late Imperial China (A Philip E. Lilienthal Book),Francesca Bray,Univ of California Press,1997,18
102,Ancient Light: Our Changing View of the Universe,Alan P. Lightman,Harvard University Press,1993,9
103,Never Lose Heart: Encouragement for the Journey,Joyce Meyer,FaithWords,2002,1
104,Human Resource Management in the Health Care Sector: A Guide for Administrators and Professionals,"Rick B. Forsman, Alison Bunting",Scarecrow Press,2000,38
105,IA-64 Linux Kernel: Design and Implementation,"David Mosberger, Stéphane Eranian",Prentice Hall,2002,13
106,Kinship with All Life,J. Allen Boone,Harper Collins,1976,25
107,Midnight Enchantment,Nancy Gideon,ImaJinn Books,1999,4
108,Robert Benchley: An Annotated Bibliography (Bibliographies and Indexes in Popular Culture),Gordon E. Ernst,ABC-CLIO,1995,29
109,Rome and its Frontiers: The Dynamics of Empire,C R Whittaker,Routledge,2004,18
110,Texas Ranger Johnny Klevenhagen,Douglas V. Meed,Taylor Trade Publishing,2000,18
111,Wendigo,Rick Yancey,Simon & Schuster,2011,21
112,The White Stripes: Sweethearts of the Blues,Denise Sullivan,Hal Leonard Corporation,2004,40
113,The Surprise of My Life: An Autobiography (Life Writing),Claire Drainie Taylor,Wilfrid Laurier Univ. Press,2010,40
114,Every Vote Counts: A Practical Guide to Choosing the Next President,Chris Katsaropoulos,Que Pub,2005,30
115,"Easy Lessons for Teaching Word Families: Hands-on Lessons That Build Phonemic Awareness, Phonics, Spelling, Reading, and Writing Skills","Judy Lynch, Chambliss Maxie",Scholastic Inc.,1998,3
116,The Means of Escape: Stories (.),Penelope Fitzgerald,Houghton Mifflin Harcourt,2001,4
117,"The Annotated Night Before Christmas: A Collection Of Sequels, Parodies, And Imitations Of Clement Moore's Immortal Ballad About Santa Claus",Martin Gardner,Pyr Books,1991,4
118,The Dictionary of the Opera,Charles Osborne,Welcome Rain,2001,2
119,Billy Goat Hill,Alice Caldwell Hegan Rice,"New York, The Century Company",1912,41
120,Terra Infirma: Geography's Visual Culture,Irit Rogoff,Routledge,2013,31
121,"The Poetry of Yunus Emre, A Turkish Sufi Poet (UC Publications in Modern Philology)","Yunus Emre, Grace Martin Smith",Univ of California Press,1993,18
122,"Venice, the Tourist Maze: A Cultural Critique of the World's Most Touristed City","Robert C. Davis, Garry R. Marvin",Univ of California Press,2004,31
123,Dragon's Kin (Dragonriders of Pern Series),"Anne McCaffrey, Todd J. McCaffrey",Pern,2004,4
124,Eyesores,Mélanie van der Hoorn,Berghahn Books,2009,31
125,Automated Accounting 8.0,"Warren W. Allen, Dale H. Klooster",South-Western Pub,2003,5
126,Clean: A New Generation in Recovery Speaks Out,Chris Beckman,Hazelden Publishing,2005,32
127,Decoding Kanji: A Practical Approach to Learning Look-Alike Characters,"Yaeko Sato Habein, Gerald B. Mathias",Kodansha Amer Incorporated,2000,24
128,A Concise Dictionary of Theology (Stimulus Book),"Gerald OCollins, Edward G. Farrugia",Paulist Press,2013,42
129,51 Secrets of Motherhood (That Your Mother Never Told You),Rebecca Matthias,Franklin Mason Press,2005,43
130,Learning to Program with VISUAL BASIC.Net,Jesse Liberty,"""O'Reilly Media, Inc.""",2002,13
131,Flood And Monsoon Alert! (Disaster Alert!),Rachel Eagen,Crabtree Publishing Company,2005,19
132,Java and SOAP,Robert Englander,"""O'Reilly Media, Inc.""",2002,13
133,Macromedia Flash MX Unleashed,Matthew Pizzi,Sams Publishing,2003,13
134,If You Give a Boy a Bible,Andy Holmes,Kregel Publications,2004,19
135,Guitar Effects Pedals the Practical Handbook Book/CD (Softcover),Dave Hunter,Backbeat Books,2013,2
136,A Quiet Strength (Prairie Legacy Series #3),Janette Oke,Bethany House,2008,4
137,Billy Sunday and the Redemption of Urban America (Library of Religious Biography),Lyle W. Dorsett,Mercer University Press,2004,1
138,The Adventures of the Itty Bitty Spider and the Itty Bitty Mouse,Kimberly P. Johnson,Ivy House Publishing Group,2000,21
139,Selections from the Gospel of Sri Ramakrishna: Annotated & Explained (SkyLight Illuminations),"Ramakrishna, Swami Nikhilananda, Kendra Crossen Burroughs",Skylight Paths Publishing,2002,1
140,Complete Prostate Book: What Every Man Needs to Know,J. Stephen Jones,Pyr Books,2005,44
141,Street Poetry,"L-Boogie, Lorenzo Solomon",Xlibris Corporation,2010,45
142,Revolution and Reaction: Europe 1789-1849 (Cambridge Perspectives in History),Andrew Matthews,Cambridge University Press,2001,19
143,Shaded Lives: African American Women and Television,Beretta E. Smith-Shomade,Rutgers University Press,2002,46
144,London Is the Best City in America,Laura Dave,Penguin,2007,4
145,IP Convergence: The Next Revolution in Telecommunications,Daniel Minoli,Artech House,2003,36
146,Angel Financing: How to Find and Invest in Private Equity,"Gerald A. Benjamin, Joel B. Margulis",John Wiley & Sons,1999,5
147,Willow Weep for Me: A Black Woman's Journey Through Depression,Meri Nana-Ama Danquah,W. W. Norton,1998,40
148,Charter Schools in Action: Renewing Public Education.,"Chester E. Finn, Jr., Bruno V. Manno, Gregg Vanourek",Princeton University Press,2001,3
149,Know It by Heart,Jessi Kirby,Harper Collins,2015,47
150,Whispers In The Wind (Classic Reprint),Lucy Virginia French,Forgotten Books,2017,45
151,The Art Of Dealing With People,Les Giblin,Les Giblin Books,2001,5
152,The Total Cat: Understanding Your Cat's Physical and Emotional Behavior from Kitten to Old Age,Carole Wilbourn,Harper Paperbacks,2000,48
153,The Only Guide to a Winning Bond Strategy You'll Ever Need: The Way Smart Money Preserves Wealth Today,"Larry E. Swedroe, Joseph H. Hempen",Truman Talley Books,2007,3
154,Chasing Jordan (High Risk Books),Heidi W. Boehringer,Serpents Tail,2005,4
155,Basic Yoga for Everybody: 84 Cards With Accompanying Handbook,Gertrud Hirschi,Weiser Books,1998,44
156,Facing the Wind: A True Story of Tragedy and Reconciliation,Julie Salamon,Random House Trade Paperbacks,2002,23
157,Jamestown's Number Power: Pre-Algebra,Robert Mitchell,McGraw-Hill Education,2001,22
158,"Junie B., First Grader: Jingle Bells, Batman Smells! (P.S. So Does May)",Barbara Park,Random House Books for Young Readers,2008,21
159,7 Days of Creation (GodCounts Series),Mindy MacDonald,Multnomah Books,2004,19
160,Feminist Politics and Human Nature (Philosophy and Society) (Philosophy & Society),Alison M. Jaggar,Rowman & Littlefield Publishers,1988,31
161,Forlorn Hope,David Drake,Tor Books,2015,4
162,Highlander(TM): The Measure of a Man (Highlander (Warner)),Nancy Holder,Aspect,2014,49
163,"The Secret of Love: Mahanta Transcripts, Book 14",Harold Klemp,ECKANKAR,2020,1
164,The ABCs of Bass for the Developing Student (Book 2),Janice Tucker Rhoda,"Carl Fischer, L.L.C.",2000,50
165,Starting Something: An Entrepreneur's Tale of Corporate Culture,Wayne McVicker,Ravel Media,2005,5
166,The Eighth Continent and Other Stories,Alba N. Ambert,Arte Publico Press,1997,4
167,The Virginia Adventure: Roanoke to James Towne (Virginia Bookshelf),Ivor Noël Hume,University of Virginia Press,1997,18
168,"The Unheeded Cry: The Gripping Story of Rabbi Chaim Michael Dov Weissmandl, the Valian Holocaust Leader Who Battled Both Allied Indiffer (ArtScroll History)",Abraham Fuchs,Mesorah Publications Limited,1984,51
169,Bound by Power: Intended Consequences,Jeffery Klaehn,Black Rose Books Limited,2006,30
170,The Emperor's Assassin: Memoirs of a Bow Street Runner (Dell Mystery),T. F. Banks,Dell Publishing Company,2003,4
171,Jeep Owner's Bible: A Hands-On Guide to Getting the Most from Your Jeep (Owners Bible),Moses Ludel,Bentley Pub,1992,52
172,Eve's Herbs: A History of Contraception and Abortion in the West,John M. Riddle,Harvard University Press,1999,18
173,The Foucault Effect: Studies in Governmentality,Michel Foucault,University of Chicago Press,1991,11
174,Wild Kingdom (Black Lace),Deanna Ashford,Random House,2010,4
175,The Al Jazeera Phenomenon: Critical Perspectives on New Arab Media,Mohamed Zayani,Routledge,2019,31
176,Silenced: International Journalists Expose Media Censorship,David Dadge,Prometheus Books,2005,30
177,"German Home Towns: Community, State, and General Estate, 1648-1871",Mack Walker,Cornell University Press,2015,18
178,Optical Properties of Photonic Crystals (Springer Series in Optical Sciences),Kazuaki Sakoda,Springer,2013,9
179,"101 Great Games for Infants, Toddlers, and Preschoolers: Active, Bible-Based Fun for Christian Education",Jolene L. Roehlkepartain,Abingdon Press,2000,1
180,A Killing Spring (Joanne Kilbourn Mysteries),Gail Bowen,McClelland & Stewart,2011,4
181,Behind the Invasion of Iraq,", The Research Unit for Political Economy",NYU Press,2003,30
182,Basic Classical Guitar Method 1 (Book & DVD),Paul Henry,Hal Leonard Corporation,2015,2
183,"Just Sex: Students Rewrite the Rules on Sex, Violence, Equality and Activism","Jodi Gold, Susan Villari",Rowman & Littlefield,2000,3
184,The OMAC Project (Countdown to Infinite Crisis),"Greg Rucka, Geoff Johns, Jesús Saiz, Judd Winick, Cliff Richards",Dc Comics,2005,16
185,Focusing the Familiar: A Translation and Philosophical Interpretation of the Zhongyong,"Roger T. Ames, David L. Hall",University of Hawaii Press,2001,1
186,Arnold's Problems,Vladimir I. Arnold,Springer Science & Business Media,2004,22
187,Breaking Trail,Arlene Blum,Houghton Mifflin Harcourt,2007,40
188,Sammy Keyes and the Hotel Thief,Wendelin Van Draanen,Yearling,2003,21
189,On Good Days It Just Bounces Off,John Campo,Blue Unicorn Editions,2005,4
190,Just Sex,Susan Kay Law,Penguin,2007,4
191,Samurai Zen,Trevor Leggett,Psychology Press,2003,11
192,Graphic Novels: Everything You Need to Know,Paul Gravett,Turtleback Books,2005,10
193,User Interface Design: Bridging the Gap from User Requirements to Design,Larry E. Wood,CRC Press,2018,13
194,The Last Tsar: The Life and Death of Nicholas II,Edvard Radzinsky,Anchor,2011,18
195,"Poems for the Millennium: The University of California Book of Modern and Postmodern Poetry, Vol. 2: From Postwar to Millennium","University of California (System), University of California Press",Univ of California Press,1995,45
196,Series 7 Securities Licensing Exam Review Exam Cram,Richard Majka,Que Publishing,2006,5
197,Prayer and Listening (Spiritual Disciplines Bible Studies),Jan Johnson,InterVarsity Press,2020,1
198,"Bach Complete Organ Works, Vol. 9 (Kalmus Edition)",Corliss Richard Arnold,Scarecrow Press,2003,2
199,Arc of the Ancients and Other Poetry,Martin A. Enticknap,Armstrong Valley Pub,2003,45
200,"International Harvester: Super and Non-Series A, B, C, Mta, H, M, Md, Cub (Prior 1957), Mtad, 4, 6, D6, W6Ta, W6Tad, 9, D9 (I & T Shop Service Manuals)",Editors of Haynes Manuals,"Haynes Manuals N. America, Incorporated",1989,53
201,Noah's Crew Came 2 by 2 (GodCounts Series),Mindy MacDonald,Multnomah Books,2004,19
202,Java Precisely,Peter Sestoft,MIT Press,2016,13
203,What's Under the Bed? (Wonderwise),"Mick Manning, Brita Granstrom",Wonderwise,2014,54
204,Automobile Insurance Made Simple,"Ed Boylan, Mark Swercheck",Universal-Publishers,1999,5
205,"Style and Society in Dark Age Greece: The Changing Face of a Pre-literate Society, 1100-700 BC (New Studies in Archaeology)",James Whitley,Cambridge University Press,2003,31
206,The Craft of Musical Composition: Book 2 (Stap/067),Paul Hindemith,Schott & Company Limited,1970,2
207,Highlander(TM): The Path (Highlander (Warner)),Rebecca Neason,Aspect,2009,4
208,Getting Started with Your Mac and Mac OS X Tiger: Peachpit Learning Series,Scott Kelby,Peachpit Press,2005,13
209,"Electrostatics: Exploring, Controlling and Using Static Electricity/Includes the Dirod Manual",Arthur Dearth Moore,Laplacian Press,1997,36
210,Observing Variable Stars (The Patrick Moore Practical Astronomy Series),Gerry A. Good,Springer Science & Business Media,2012,9
211,"Erikson, Eskimos, and Columbus: Medieval European Knowledge of America",James Robert Enterline,JHU Press,2002,18
212,South,Patrick McDonnell,"Little, Brown Books for Young Readers",2009,21
213,Spanish Word Puzzles (Foreign Language Word Puzzles),"Kathy Casey, Deb T. Bunnell",Courier Corporation,2001,19
214,The Touch Of His Hand,Linda Hascall,iUniverse,2003,25
215,Dave Barry's Complete Guide to Guys,Dave Barry,Ballantine Books,2010,55
216,The Dragon's Village: An Autobiographical Novel of Revolutionary China,Yuan-Tsung Chen,Pantheon,2013,4
217,Highlander(TM): Zealot (Highlander (Warner)),Donna Lettow,Aspect,2009,4
218,"Berossus and Genesis, Manetho and Exodus: Hellenistic Histories and the Date of the Pentateuch (Library Hebrew Bible/Old Testament Studies)",Russell Gmirkin,Bloomsbury Publishing USA,2006,1
219,Leaving a Shadow (National Poetry Series),Heather Allen,National Poetry,1996,45
220,Champagne for Dummies,McCarthy,For Dummies,1999,6
221,Gun Dog: Revolutionary Rapid Training Method,Richard A. Wolters,Dutton,1961,48
222,Brady's Book of Fixed Stars,Bernadette Brady,Weiser Books,1999,25
223,Semiconductor Physics: An Introduction (Advanced Texts in Physics),Karlheinz Seeger,Springer Science & Business Media,2013,36
224,Bartleby & Co.,Herman Melville,Courier Corporation,2012,4
225,The Elect,John Hall Elliott,Brill Archive,1966,56
226,Object Databases in Practice,"Mary E. S. Loomis, Akmal B. Chaudhri",Prentice Hall,1998,13
227,The Legacy Of Jihad: Islamic Holy War And The Fate Of Non-muslims,"Andrew G. Bostom, M.D.",Prometheus Books,2010,1
228,The Art of Preaching Old Testament Narrative,Steven D. Mathewson,Baker Academic,2021,1
229,The Quick and Natural Macrobiotic Cookbook,"Aveline Kushi, Wendy Esko",Contemporary Books,1989,6
230,American Exodus: The Dust Bowl Migration and Okie Culture in California,James Noble Gregory,"Oxford University Press, USA",1991,18
231,I Am Regina,Sally M. Keehn,Penguin,2001,21
232,Between Darkness and Light (Sholan Alliance),Lisanne Norman,Daw Books,2003,4
233,"Dear Heart, Come Home: The Path of Midlife Spirituality",Joyce Rupp,Crossroad Classic,1996,1
234,"Homophobia: Description, Development, and Dynamics of Gay Bashing",Martin Kantor,Praeger Pub Text,1998,31
235,Il Ragazzini 2009: Dizionario Inglese Italiano e Italiano Inglese CD-Rom: Il Ragazzini Dictionary Italian English and English Italian on CD-ROM (English and Italian Edition),G. K. Chesterton,CreateSpace,2013,4
236,The Opera Lover's Companion,Charles Osborne,Yale University Press,2007,2
237,Ethics in America - Source Reader (2nd Edition),"Management Association, Information Resources",IGI Global,2014,30
238,Webs of Reality: Social Perspectives on Science and Religion,"William Stahl, Robert A. Campbell, Gary Diver, Yvonne Petry",Rutgers University Press,2002,31
239,Time of the Wolf,James Wilde,Simon and Schuster,2021,4
240,Worlds Vast and Various: Stories,Lina Rather,Tor.com,2019,4
241,"Revising Culture, Reinventing Peace: The Influence of Edward W. Said","Naseer Aruri, Mohammad A Shuraydi, Muhammad A.. Shuraydi",Interlink Books,2001,18
242,International Harvester Shop Manual Series 300 300 Utility - Ih - 10 (I & T Shop Service),Penton Staff,"Haynes Manuals N. America, Incorporated",2000,12
243,Overcoming Jealousy and Possessiveness,Paul A. Hauck,Westminster John Knox Press,1981,1
244,Shaping Things (Mediaworks Pamphlets),Bruce Sterling,MIT Press,2005,36
245,Exodus : The Dolph/in Saga,Martin A. Enticknap,Armstrong Valley Pub,1999,4
246,Kinship: An Introduction to the Basic Concepts,David Parkin,Wiley-Blackwell,1997,31
247,Vital Signs 2003: The Trends That Are Shaping Our Future,"Worldwatch Institute, United Nations Environment Programme",W W Norton & Company Incorporated,2003,26
248,Is Data Human?: The Metaphysics Of Star Trek,Rick Hanley,Basic Books,1998,11
249,The Power of Self-Esteem: An Inspiring Look At Our Most Important Psychological Resource,Nathaniel Branden,HCI,1992,32
250,Elwood's Blues: Interviews with the Blues Legends and Stars,"Dan Aykroyd, Ben Manilla, The Blues Brothers",Hal Leonard Corporation,2004,2
251,"Visual Faith: Art, Theology, and Worship in Dialogue (Engaging Culture)",William A. Dyrness,Baker Academic,2001,1
252,Computational Differential Equations,"K. Eriksson, Kenneth Eriksson, D. Estep, P. Hansbo, C. Johnson",Cambridge University Press,1996,22
253,Vampire Apocalypse Book One,Derek Gunn,Permuted Press,2010,4
254,Solitude and Silence (Spiritual Disciplines Bible Studies),Jan Johnson,InterVarsity Press,2014,1
255,Severed States: Dilemmas of Democracy,Robert K. Schaeffer,Rowman & Littlefield,1999,30
256,Forest Entomology: Ecology and Management,"Robert N. Coulson, John A. Witter",John Wiley & Sons,1984,15
257,Neural Computing for Optimization and Combinatorics,"Jun Li Jim Wang, Yoshiyasu Takefuji",World Scientific,1996,22
258,In the City: Random Acts of Awareness,Colette Brooks,W. W. Norton & Company,2003,40
259,The Dark Secret of Fox: The Hunter,J. D. Fox,Createspace Independent Pub,2005,23
260,A Road Map to the Future,"National Research Council, National Weather Service, Division on Engineering and Physical Sciences, Commission on Engineering and Technical Systems, National Weather Service Modernization Committee, Panel on the Road Map for the Future",National Academies Press,1999,9
261,Prince Cinders (Turtleback School & Library Binding Edition),Babette Cole,Paw Prints,2009,57
262,"Fannie Flagg's Original Whistle Stop Cafe Cookbook: Featuring : Fried Green Tomatoes, Southern Barbecue, Banana Split Cake, and Many Other Great Recipes",Fannie Flagg,Ballantine Books,2011,6
